Mobile ID,Task ID,Data Size(Mb),Deadline(sec),Next Subtask,Data transmitted between subtask,Mobile Energy,Mobile threshold,LocationX,LocationY,Task generate Time
0,3,101.91529077464399,31.276646062129288,1,101.91529077464399,7905.165992466303,3600.0,16.925222516694266,2.4774358035043123,56
1,3,108.00723392459886,24.986910116835073,1,108.00723392459886,6193.585706096395,3600.0,13.37342085639782,11.80190750646348,14
2,3,28.77119700057456,9.3990266106374,1,28.77119700057456,9872.367621833033,3600.0,9.287720099828208,16.11343580667658,80
3,4,56.48978188125453,13.859882329520655,1,56.48978188125453,5696.923824107118,3600.0,0.07694344527709499,4.687997394240751,72
4,1,20.587449540943588,3.3210089088831034,1,20.587449540943588,5032.897576371255,3600.0,13.786806949085081,4.310556754522926,9
5,4,211.90473835844693,71.25417229165195,1,211.90473835844693,7627.161147795329,3600.0,2.246187389362621,8.418665169496256,69
6,3,141.37756169816092,48.885410006853114,1,141.37756169816092,4400.982400918708,3600.0,5.563667353901268,2.5963111590125045,21
7,3,40.87895529875588,8.099716140373546,1,40.87895529875588,5755.443709301685,3600.0,7.846954785767312,9.648150144130721,10
8,3,202.25156263066376,65.99195545277804,1,202.25156263066376,4226.049569514311,3600.0,9.813317476080066,9.20483964996567,52
9,1,74.09637478879998,15.64583188433738,1,74.09637478879998,3917.0186860184417,3600.0,5.5738699893075285,12.355035913978329,67
10,1,64.30261852383492,8.493202092494839,1,64.30261852383492,4250.433028871217,3600.0,14.439793110110907,14.926760927621185,11
11,4,85.65630525818875,31.630073824182897,1,85.65630525818875,4563.684566823347,3600.0,2.932473724509732,7.469434434843812,59
12,4,94.07936114029305,26.7649433479186,1,94.07936114029305,4372.30640545182,3600.0,10.243086326585383,15.937549002568636,48
13,4,195.25239182645043,65.97438380228115,1,195.25239182645043,8234.599192114885,3600.0,7.7450605706437345,12.638774262558757,36
14,4,178.4599583007183,63.75005042811689,1,178.4599583007183,4438.472130258801,3600.0,3.698852962850306,16.05615361187464,43
15,3,149.79538307491904,39.13618187129916,1,149.79538307491904,7684.789848872073,3600.0,9.462883218525562,5.192736867618375,56
16,2,184.51633036198888,45.01855279754793,1,184.51633036198888,7118.569332521489,3600.0,7.731416996538052,2.7945135345519105,35
17,3,191.3319650400016,38.33077225443909,1,191.3319650400016,8773.278410895782,3600.0,14.344602340015195,12.823411785421126,2
18,1,106.86898378799042,23.177764387995172,1,106.86898378799042,8799.962923920739,3600.0,16.527653257649767,8.560442603176755,40
19,4,133.10697230635856,46.19592439696719,1,133.10697230635856,4550.030897725483,3600.0,16.937872724431585,2.2398981424093733,47
20,1,64.08329158101682,11.782962525642883,1,64.08329158101682,6367.125287225442,3600.0,1.7552816638988216,17.839160039931006,32
21,4,203.49895153945613,44.366839955639016,1,203.49895153945613,7446.326687932887,3600.0,16.473543902692832,2.044133440943213,41
22,3,42.08583317002296,13.996329622262275,1,42.08583317002296,7142.5988838635485,3600.0,15.302439371193442,8.690831382403813,47
23,2,142.82286970980144,43.33215755639486,1,142.82286970980144,7111.690337755968,3600.0,3.9820913843935215,8.297632574820808,76
24,1,10.63589417402084,2.365282672917293,1,10.63589417402084,8202.37750070288,3600.0,17.58868752232271,17.64591727818715,3
25,3,160.6603753179941,35.820602612795945,1,160.6603753179941,3694.3852161908862,3600.0,14.426662247886865,11.141043665055154,75
26,1,77.86347613446752,10.155989491012246,1,77.86347613446752,10572.05158545393,3600.0,13.749099613252215,13.616788354580828,38
27,2,136.2069882658698,27.49937875270896,1,136.2069882658698,6681.721519494345,3600.0,4.910378352668335,4.527719149392425,21
28,3,206.4482084287709,40.87816588663871,1,206.4482084287709,8699.428068840072,3600.0,5.362940798839113,1.7727790653554667,61
29,4,57.9078275730537,17.124306084234593,1,57.9078275730537,7058.5450625143885,3600.0,5.324142820101546,3.875774207617405,10
30,3,105.2156073457095,25.85672816478141,1,105.2156073457095,7047.221619925427,3600.0,5.7877732838933005,13.84235961203245,37
31,1,211.80467372637818,39.56970978829257,1,211.80467372637818,3951.063960154681,3600.0,0.6821279734957684,16.008212504513132,78
32,3,90.81102384315027,29.570500171714645,1,90.81102384315027,10211.09163822318,3600.0,14.705192695686614,7.838114561680503,28
33,2,106.35431571601946,21.466280458674984,1,106.35431571601946,9870.035357155648,3600.0,10.125445257861383,14.687413594471435,61
34,2,186.23828626470163,36.51949654921313,1,186.23828626470163,8744.560069242936,3600.0,3.3781928710645466,17.748555811166714,66
35,1,147.70910489156915,24.681810804505833,1,147.70910489156915,8263.522873719829,3600.0,7.729362430518229,15.15363785890899,44
36,1,230.52119077731788,29.83053500692114,1,230.52119077731788,9424.018734132756,3600.0,12.533671142154924,9.42648921429074,43
37,1,13.457682874517415,2.1655622944221653,1,13.457682874517415,4392.860728218361,3600.0,16.24578759016969,0.7087572762954695,76
38,3,41.102270459728686,10.649975788152792,1,41.102270459728686,5571.2139386880335,3600.0,9.589078003728416,6.2649061584749575,77
39,4,123.4620727509704,48.47121240721616,1,123.4620727509704,5386.02625270923,3600.0,0.939440810971045,14.677576382631633,67
40,2,70.9386795312897,18.037374961142426,1,70.9386795312897,5491.470394550702,3600.0,11.208753957818217,9.697737028039214,19
41,4,107.12446064745278,35.181948016551104,1,107.12446064745278,5777.975570345831,3600.0,6.786728041739536,14.70479480204492,48
42,4,51.70531959606475,20.37212939676543,1,51.70531959606475,8840.975341341858,3600.0,3.5825599029384034,0.7226683177742554,55
43,3,42.94942860276485,15.533397052538009,1,42.94942860276485,7326.829762607649,3600.0,12.498886680999133,8.926258611734116,19
44,3,189.60338494491688,67.66379908419465,1,189.60338494491688,4975.337212059493,3600.0,12.200052758199767,15.51134017439082,43
45,2,67.54771780471626,15.249306160769253,1,67.54771780471626,4121.153533142491,3600.0,17.215401983656967,8.965845973874394,47
46,3,207.36379748057152,61.680917231630545,1,207.36379748057152,4742.45232238374,3600.0,4.940094921941004,14.275190150806164,20
47,2,181.79274959691972,52.30186793335759,1,181.79274959691972,9119.808659142804,3600.0,11.74781664828524,1.501833175814965,20
48,4,90.14674405898016,24.83646469401886,1,90.14674405898016,3881.5460135729827,3600.0,14.707770790732734,15.83615379717754,57
49,1,9.057826497074457,1.4285387269345071,1,9.057826497074457,9365.000675091098,3600.0,8.124469469062308,13.203374835082718,57
50,1,131.07614790602963,23.74394573911927,1,131.07614790602963,8836.113984959527,3600.0,7.316259258290199,8.722808187854836,15
51,3,22.66824681965669,5.504625224082542,1,22.66824681965669,6965.94121925008,3600.0,3.7782060205317807,14.308723789714293,67
52,1,15.46589034357586,2.3648890761293067,1,15.46589034357586,7114.316718214049,3600.0,9.447296099499326,3.7295672692769006,28
53,1,109.65861858054838,14.408770093262206,1,109.65861858054838,4895.218034651854,3600.0,16.643325051950846,15.5498355599694,9
54,3,213.74582500143387,76.33570064224573,1,213.74582500143387,5857.450117006443,3600.0,6.9409438686094855,13.428128290151776,36
55,4,218.33014106575703,78.72165126176802,1,218.33014106575703,5771.0179210230945,3600.0,10.088214329230516,6.413754057286582,47
56,1,83.7352093885758,18.521193571930198,1,83.7352093885758,5571.82340295045,3600.0,6.4093715038973675,14.209659101842728,73
57,3,210.25511272921185,75.60883642639756,1,210.25511272921185,8048.725241456293,3600.0,9.427240751864858,12.278917926556922,64
58,4,14.719136957552776,5.55150620322718,1,14.719136957552776,6807.403831246934,3600.0,17.814549806110104,15.526573964722715,33
59,1,54.53504929150004,9.653726315071149,1,54.53504929150004,9396.699269634915,3600.0,10.196832476233928,16.339498385564383,45
60,4,208.29959006598324,82.43866464900327,1,208.29959006598324,9419.3012376298,3600.0,1.6246252347993244,13.558936907173589,67
61,4,79.92148361436395,18.47958628413119,1,79.92148361436395,9371.052599543487,3600.0,7.737002952409671,5.296444569661548,72
62,4,66.1678908545417,15.88028175945529,1,66.1678908545417,8685.435685835317,3600.0,9.146398406105288,17.14983426723646,7
63,2,145.81059513943902,29.54139678909877,1,145.81059513943902,8731.518554793069,3600.0,5.6426217385839745,6.3790717464026345,72
64,4,153.06021899169585,57.974532674131424,1,153.06021899169585,9047.208468781984,3600.0,15.608448131125028,15.642918360032553,53
65,4,172.50178947712962,53.2735253039051,1,172.50178947712962,9432.850074296608,3600.0,4.740170471755281,17.593030798930496,64
66,1,175.66081968536201,29.024681284293127,1,175.66081968536201,5355.075612825183,3600.0,5.635289401778147,10.590401558060355,38
67,2,226.84931608371613,72.88278386725929,1,226.84931608371613,7534.336939807247,3600.0,8.038389277450591,11.967251674772534,73
68,1,90.97138173611,16.64623452199851,1,90.97138173611,4432.872551362516,3600.0,5.029582914731171,5.888482841054271,31
